threshold,precision,recall,f1,accuracy
0.01,0.11264870114105366,1.0,0.20248745363299148,0.11264870114105366
0.02,0.11264870114105366,1.0,0.20248745363299148,0.11264870114105366
0.03,0.11264870114105366,1.0,0.20248745363299148,0.11264870114105366
0.04,0.11264870114105366,1.0,0.20248745363299148,0.11264870114105366
0.05,0.11264870114105366,1.0,0.20248745363299148,0.11264870114105366
0.06,0.11266237707903363,1.0,0.20250954719039826,0.11277008982762807
0.07,0.11267605633802817,1.0,0.20253164556962025,0.11289147851420248
0.08,0.11268973891924712,1.0,0.20255374877223617,0.11301286720077688
0.09,0.11274450249058438,1.0,0.20264220984823672,0.11349842194707453
0.1,0.11275820170109356,1.0,0.20266433719152654,0.11361981063364894
0.11,0.11286791534906349,1.0,0.2028415300546448,0.11459092012624424
0.12,0.11292285227549283,1.0,0.20293024272906188,0.11507647487254188
0.13,0.1130053580126644,1.0,0.20306345733041575,0.11580480699198835
0.14,0.11299572910311165,0.9978448275862069,0.2030033980050422,0.11738285991745569
0.15,0.11321909424724602,0.9967672413793104,0.20334139371290394,0.12017479970866715
0.16,0.11365595370028321,0.9946120689655172,0.20400044203779424,0.12563729060451567
0.17,0.11432832111345843,0.9913793103448276,0.20501392757660167,0.13389172129157562
0.18,0.11530240160945555,0.9881465517241379,0.20650827609503433,0.1445739257101238
0.19,0.11700488055484203,0.9816810344827587,0.20908882258434702,0.16338917212915757
0.2,0.11936758893280633,0.9762931034482759,0.21272599201690537,0.18596746783199805
0.21,0.12235198261814231,0.9709051724137931,0.21731789676796912,0.2121874241320709
0.22,0.12629194393317286,0.9612068965517241,0.22325115755224628,0.24654042243262927
0.23,0.1300933471625426,0.9461206896551724,0.22873518301419826,0.2812575867929109
0.24,0.135168766526676,0.9364224137931034,0.23623759684654072,0.3179169701383831
0.25,0.14095831965868066,0.9256465517241379,0.2446596411278838,0.35615440640932267
0.26,0.14492753623188406,0.9051724137931034,0.2498512790005949,0.3877154649186696
0.27,0.15079941860465115,0.8943965517241379,0.25808457711442784,0.4207331876669094
0.28,0.1562261268143621,0.8814655172413793,0.2654120700843608,0.4503520271910658
0.29,0.16141260973663207,0.8717672413793104,0.2723905723905724,0.4753580966253945
0.3,0.168,0.8599137931034483,0.28108488904543855,0.5044913814032532
0.31,0.17489484170909897,0.8512931034482759,0.29017447199265384,0.5308327263899004
0.32,0.18243719182906787,0.8372844827586207,0.29959514170040485,0.5589949016751639
0.33,0.1886182902584493,0.8178879310344828,0.30654281098546043,0.5831512503034717
0.34,0.19630606860158312,0.8017241379310345,0.31538787621873676,0.6079145423646516
0.35,0.20561797752808988,0.7887931034482759,0.32620320855614976,0.6329206117989803
0.36,0.21589882565492322,0.7726293103448276,0.3374911743939751,0.6582908472930323
0.37,0.22838709677419355,0.7629310344827587,0.3515392254220457,0.6829327506676378
0.38,0.2399041752224504,0.7553879310344828,0.3641558441558442,0.7028404952658412
